Symbol    ,Derivatives on Individual Securities
AUROPHARMA,AUROBINDO PHARMA LTD                
ADANIPORTS,ADANI PORT & SEZ LTD                
AARTIIND  ,AARTI INDUSTRIES LTD                
APLLTD    ,ALEMBIC PHARMA LTD                  
ASIANPAINT,ASIAN PAINTS LIMITED                
CADILAHC  ,CADILA HEALTHCARE LIMITED           
BANDHANBNK,BANDHAN BANK LIMITED                
BERGEPAINT,BERGER PAINTS (I) LTD               
BRITANNIA ,BRITANNIA INDUSTRIES LTD            
ACC       ,ACC LIMITED                         
CHOLAFIN  ,CHOLAMANDALAM IN & FIN CO           
ALKEM     ,ALKEM LABORATORIES LTD.             
AMARAJABAT,AMARA RAJA BATTERIES LTD.           
AMBUJACEM ,AMBUJA CEMENTS LTD                  
CONCOR    ,CONTAINER CORP OF IND LTD           
APOLLOHOSP,APOLLO HOSPITALS ENTER. L           
APOLLOTYRE,APOLLO TYRES LTD                    
DEEPAKNTR ,DEEPAK NITRITE LTD                  
EICHERMOT ,EICHER MOTORS LTD                   
AUBANK    ,AU SMALL FINANCE BANK LTD           
AXISBANK  ,AXIS BANK LIMITED                   
GRANULES  ,GRANULES INDIA LIMITED              
GRASIM    ,GRASIM INDUSTRIES LTD               
BAJAJ-AUTO,BAJAJ AUTO LIMITED                  
BAJAJFINSV,BAJAJ FINSERV LTD.                  
HDFC      ,HDFC LTD                            
BAJFINANCE,BAJAJ FINANCE LIMITED               
BALKRISIND,BALKRISHNA IND. LTD                 
HDFCAMC   ,HDFC AMC LIMITED                    
BANKBARODA,BANK OF BARODA                      
HINDALCO  ,HINDALCO  INDUSTRIES  LTD           
BATAINDIA ,BATA INDIA LTD                      
BEL       ,BHARAT ELECTRONICS LTD              
BHARATFORG,BHARAT FORGE LTD                    
BHARTIARTL,BHARTI AIRTEL LIMITED               
JSWSTEEL  ,JSW STEEL LIMITED                   
BHEL      ,BHEL                                
BIOCON    ,BIOCON LIMITED.                     
BOSCHLTD  ,BOSCH LIMITED                       
BPCL      ,BHARAT PETROLEUM CORP  LT           
LUPIN     ,LUPIN LIMITED                       
M&MFIN    ,M&M FIN. SERVICES LTD               
CANBK     ,CANARA BANK                         
CIPLA     ,CIPLA LTD                           
MCDOWELL-N,UNITED SPIRITS LIMITED              
COALINDIA ,COAL INDIA LTD                      
COFORGE   ,COFORGE LIMITED                     
MFSL      ,MAX FINANCIAL SERV LTD              
CUB       ,CITY UNION BANK LTD                 
CUMMINSIND,CUMMINS INDIA LTD                   
DABUR     ,DABUR INDIA LTD                     
MINDTREE  ,MINDTREE LIMITED                    
DIVISLAB  ,DIVI'S LABORATORIES LTD             
DLF       ,DLF LIMITED                         
DRREDDY   ,DR. REDDY'S LABORATORIES            
ESCORTS   ,ESCORTS INDIA LTD                   
EXIDEIND  ,EXIDE INDUSTRIES LTD                
FEDERALBNK,FEDERAL BANK LTD                    
GAIL      ,GAIL (INDIA) LTD                    
GMRINFRA  ,GMR INFRASTRUCTURE LTD.             
